ballX,ballY,vy,vx,paddleY,deltaY,action
108.0,186.716675,3.77986,-2.0,103.0,-68.716675,2
100.0,184.440277,-3.77986,-2.0,103.0,-66.440277,2
78.0,142.861801,-3.77986,-2.0,103.0,-24.861801,2
76.0,139.08194,-3.77986,-2.0,103.0,-21.08194,2
66.0,120.182632,-3.77986,-2.0,103.0,-2.182632,2
62.0,112.62291,-3.77986,-2.0,103.0,5.37709,2
56.0,101.283325,-3.77986,-2.0,103.0,16.716675,2
54.0,97.503464,-3.77986,-2.0,103.0,20.496536,0
52.0,93.723602,-3.77986,-2.0,97.0,18.276398,0
50.0,89.943741,-3.77986,-2.0,91.0,16.056259,0
48.0,86.163879,-3.77986,-2.0,85.0,13.836121,0
46.0,82.384018,-3.77986,-2.0,79.0,11.615982,0
44.0,78.604156,-3.77986,-2.0,73.0,9.395844,0
42.0,74.824295,-3.77986,-2.0,67.0,7.175705,0
40.0,71.044434,-3.77986,-2.0,61.0,4.955566,0
38.0,67.264572,-3.77986,-2.0,55.0,2.735428,0
36.0,63.484711,-3.77986,-2.0,49.0,0.515289,0
34.0,59.704849,-3.77986,-2.0,43.0,-1.704849,0
32.0,55.924988,-3.77986,-2.0,37.0,-3.924988,0
30.0,52.145126,-3.77986,-2.0,31.0,-6.145126,0
28.0,48.365265,-3.77986,-2.0,25.0,-8.365265,0
26.0,44.585403,-3.77986,-2.0,19.0,-10.585403,0
16.0,25.6861,-3.77986,-2.0,13.0,2.3139,2
154.0,99.551849,3.551846,-2.0,85.0,0.448151,2
142.0,120.862946,3.551846,-2.0,85.0,-20.862946,2
136.0,131.518494,3.551846,-2.0,85.0,-31.518494,2
116.0,167.036987,3.551846,-2.0,55.0,-97.036987,1
114.0,170.588837,3.551846,-2.0,61.0,-94.588837,1
112.0,174.140686,3.551846,-2.0,67.0,-92.140686,1
110.0,177.692535,3.551846,-2.0,73.0,-89.692535,1
108.0,181.244385,3.551846,-2.0,79.0,-87.244385,1
106.0,184.796234,3.551846,-2.0,85.0,-84.796234,1
104.0,188.348083,3.551846,-2.0,91.0,-82.348083,1
102.0,191.899933,3.551846,-2.0,97.0,-79.899933,1
98.0,188.448151,-3.551846,-2.0,103.0,-70.448151,2
88.0,170.688904,-3.551846,-2.0,103.0,-52.688904,2
66.0,131.618561,-3.551846,-2.0,103.0,-13.618561,2
64.0,128.066711,-3.551846,-2.0,103.0,-10.066711,2
60.0,120.963013,-3.551846,-2.0,103.0,-2.963013,2
56.0,113.859314,-3.551846,-2.0,103.0,4.140686,0
54.0,110.307465,-3.551846,-2.0,97.0,1.692535,0
52.0,106.755615,-3.551846,-2.0,91.0,-0.755615,0
50.0,103.203766,-3.551846,-2.0,85.0,-3.203766,0
48.0,99.651917,-3.551846,-2.0,79.0,-5.651917,0
46.0,96.100067,-3.551846,-2.0,73.0,-8.100067,0
44.0,92.548218,-3.551846,-2.0,67.0,-10.548218,0
42.0,88.996368,-3.551846,-2.0,61.0,-12.996368,0
40.0,85.444519,-3.551846,-2.0,55.0,-15.444519,0
38.0,81.89267,-3.551846,-2.0,49.0,-17.89267,0
36.0,78.34082,-3.551846,-2.0,43.0,-20.34082,0
34.0,74.788971,-3.551846,-2.0,37.0,-22.788971,0
32.0,71.237122,-3.551846,-2.0,31.0,-25.237122,2
28.0,64.133423,-3.551846,-2.0,31.0,-18.133423,2
26.0,60.581577,-3.551846,-2.0,31.0,-14.581577,2
24.0,57.029732,-3.551846,-2.0,31.0,-11.029732,2
22.0,53.477886,-3.551846,-2.0,31.0,-7.477886,2
20.0,49.926041,-3.551846,-2.0,31.0,-3.926041,2
18.0,46.374195,-3.551846,-2.0,31.0,-0.374195,0
16.0,42.82235,-3.551846,-2.0,25.0,-2.82235,0
12.0,35.718658,-3.551846,-2.0,19.0,-1.718658,2
277.102539,179.511063,2.512826,-3.112187,85.0,-79.511063,2
273.990356,182.023895,2.512826,-3.112187,85.0,-82.023895,1
270.878174,184.536728,2.512826,-3.112187,91.0,-78.536728,1
267.765991,187.049561,2.512826,-3.112187,97.0,-75.049561,1
264.653809,189.562393,2.512826,-3.112187,103.0,-71.562393,1
255.317261,186.974335,-2.512826,-3.112187,109.0,-62.974335,2
214.858887,154.30751,-2.512826,-3.112187,109.0,-30.30751,2
202.410156,144.25618,-2.512826,-3.112187,109.0,-20.25618,2
183.737061,129.179184,-2.512826,-3.112187,109.0,-5.179184,2
177.512695,124.153534,-2.512826,-3.112187,109.0,-0.153534,0
174.400513,121.640709,-2.512826,-3.112187,103.0,-3.640709,0
171.28833,119.127884,-2.512826,-3.112187,97.0,-7.127884,0
168.176147,116.615059,-2.512826,-3.112187,91.0,-10.615059,0
165.063965,114.102234,-2.512826,-3.112187,85.0,-14.102234,0
161.951782,111.589409,-2.512826,-3.112187,79.0,-17.589409,0
158.8396,109.076584,-2.512826,-3.112187,73.0,-21.076584,0
155.727417,106.563759,-2.512826,-3.112187,67.0,-24.563759,0
152.615234,104.050934,-2.512826,-3.112187,61.0,-28.050934,0
130.829956,86.461159,-2.512826,-3.112187,25.0,-46.461159,2
109.044624,68.871384,-2.512826,-3.112187,25.0,-28.871384,2
93.483673,56.307259,-2.512826,-3.112187,25.0,-16.307259,2
87.259293,51.281609,-2.512826,-3.112187,25.0,-11.281609,0
84.147102,48.768784,-2.512826,-3.112187,19.0,-14.768784,0
81.034912,46.255959,-2.512826,-3.112187,13.0,-18.255959,0
77.922722,43.743134,-2.512826,-3.112187,7.0,-21.743134,0
74.810532,41.230309,-2.512826,-3.112187,1.0,-25.230309,0
31.23991,6.050755,-2.512826,-3.112187,0.0,8.949245,2
21.903351,0.0,2.512826,-3.112187,0.0,15.0,2
296.932312,115.664207,3.09509,-2.533854,128.0,27.335793,1
281.729248,134.234756,3.09509,-2.533854,152.0,32.765244,2
271.593872,146.615128,3.09509,-2.533854,152.0,20.384872,2
261.458496,158.995499,3.09509,-2.533854,152.0,8.004501,2
246.255371,177.566055,3.09509,-2.533854,152.0,-10.566055,2
236.119934,189.946426,3.09509,-2.533854,152.0,-22.946426,0
208.247482,161.049072,-3.09509,-2.533854,86.0,-60.049072,2
203.179764,154.858887,-3.09509,-2.533854,86.0,-53.858887,2
187.976608,136.28833,-3.09509,-2.533854,86.0,-35.28833,2
175.307312,120.812866,-3.09509,-2.533854,86.0,-19.812866,0
172.773453,117.717773,-3.09509,-2.533854,80.0,-22.717773,0
170.239594,114.622681,-3.09509,-2.533854,74.0,-25.622681,0
167.705734,111.527588,-3.09509,-2.533854,68.0,-28.527588,0
144.901001,83.671753,-3.09509,-2.533854,26.0,-42.671753,2
122.096291,55.815929,-3.09509,-2.533854,26.0,-14.815929,2
111.960884,43.435574,-3.09509,-2.533854,26.0,-2.435574,2
109.427032,40.340485,-3.09509,-2.533854,26.0,0.659515,0
106.893181,37.245396,-3.09509,-2.533854,20.0,-2.245396,0
104.359329,34.150307,-3.09509,-2.533854,14.0,-5.150307,0
101.825478,31.055218,-3.09509,-2.533854,8.0,-8.055218,0
99.291626,27.960129,-3.09509,-2.533854,2.0,-10.960129,0
86.622368,12.484682,-3.09509,-2.533854,0.0,2.515318,2
81.554665,6.294502,-3.09509,-2.533854,0.0,8.705498,2
73.95311,0.0,3.09509,-2.533854,0.0,15.0,2
61.283844,15.475449,3.09509,-2.533854,0.0,-0.475449,2
53.682278,24.760715,3.09509,-2.533854,0.0,-9.760715,1
51.148422,27.855804,3.09509,-2.533854,6.0,-6.855804,1
48.614567,30.950893,3.09509,-2.533854,12.0,-3.950893,1
46.080711,34.045982,3.09509,-2.533854,18.0,-1.045982,1
43.546856,37.141071,3.09509,-2.533854,24.0,1.858929,1
41.013,40.23616,3.09509,-2.533854,30.0,4.76384,1
38.479145,43.331249,3.09509,-2.533854,36.0,7.668751,1
35.94529,46.426338,3.09509,-2.533854,42.0,10.573662,1
18.208302,68.091965,3.09509,-2.533854,48.0,-5.091965,1
15.674447,71.187057,3.09509,-2.533854,54.0,-2.187057,1
13.140593,74.28215,3.09509,-2.533854,60.0,0.71785,1
10.606738,77.377243,3.09509,-2.533854,66.0,3.622757,1
239.980377,79.50531,2.311944,-3.264187,126.0,61.49469,2
220.395233,93.376968,2.311944,-3.264187,126.0,47.623032,2
217.131042,95.688911,2.311944,-3.264187,126.0,45.311089,2
204.07428,104.936684,2.311944,-3.264187,126.0,36.063316,2
174.696564,125.744171,2.311944,-3.264187,126.0,15.255829,2
161.639801,134.991974,2.311944,-3.264187,126.0,6.008026,1
158.37561,137.303925,2.311944,-3.264187,132.0,9.696075,1
155.11142,139.615875,2.311944,-3.264187,138.0,13.384125,1
151.847229,141.927826,2.311944,-3.264187,144.0,17.072174,1
138.790466,151.175629,2.311944,-3.264187,150.0,13.824371,2
128.997894,158.111481,2.311944,-3.264187,150.0,6.888519,2
125.733704,160.423431,2.311944,-3.264187,150.0,4.576569,2
122.469513,162.735382,2.311944,-3.264187,150.0,2.264618,2
119.205322,165.047333,2.311944,-3.264187,150.0,-0.047333,2
115.941132,167.359283,2.311944,-3.264187,150.0,-2.359283,1
112.676941,169.671234,2.311944,-3.264187,156.0,1.328766,1
109.41275,171.983185,2.311944,-3.264187,162.0,5.016815,1
106.14856,174.295135,2.311944,-3.264187,168.0,8.704865,1
89.827606,185.854889,2.311944,-3.264187,170.0,-0.854889,2
60.449898,178.128296,-2.311944,-3.264187,170.0,6.871704,0
57.185711,175.816345,-2.311944,-3.264187,164.0,3.183655,0
53.921524,173.504395,-2.311944,-3.264187,158.0,-0.504395,0
50.657337,171.192444,-2.311944,-3.264187,152.0,-4.192444,0
47.39315,168.880493,-2.311944,-3.264187,146.0,-7.880493,0
44.128963,166.568542,-2.311944,-3.264187,140.0,-11.568542,0
40.864777,164.256592,-2.311944,-3.264187,134.0,-15.256592,0
27.808029,155.008789,-2.311944,-3.264187,128.0,-12.008789,2
24.543842,152.696838,-2.311944,-3.264187,128.0,-9.696838,2
21.279655,150.384888,-2.311944,-3.264187,128.0,-7.384888,2
18.015469,148.072937,-2.311944,-3.264187,128.0,-5.072937,0
14.751282,145.760986,-2.311944,-3.264187,122.0,-8.760986,0
11.487095,143.449036,-2.311944,-3.264187,116.0,-12.449036,0
302.0,118.212593,-3.220506,-2.372412,86.0,-17.212593,0
299.627594,114.992088,-3.220506,-2.372412,80.0,-19.992088,0
280.648346,89.22805,-3.220506,-2.372412,74.0,-0.22805,2
275.903534,82.787041,-3.220506,-2.372412,74.0,6.212959,2
247.434662,44.140984,-3.220506,-2.372412,74.0,44.859016,2
245.062256,40.920479,-3.220506,-2.372412,74.0,48.079521,2
216.593384,2.274417,-3.220506,-2.372412,74.0,86.725586,2
207.10376,9.661517,3.220506,-2.372412,74.0,79.338486,2
197.614136,22.543537,3.220506,-2.372412,74.0,66.456467,2
152.538422,83.733131,3.220506,-2.372412,104.0,35.266869,2
145.421204,93.394646,3.220506,-2.372412,104.0,25.605354,1
143.048798,96.61515,3.220506,-2.372412,110.0,28.38485,1
114.57988,135.261215,3.220506,-2.372412,128.0,7.738785,2
107.462639,144.922729,3.220506,-2.372412,128.0,-1.922729,2
105.090225,148.143234,3.220506,-2.372412,128.0,-5.143234,2
55.269539,169.456467,-3.220506,-2.372412,128.0,-26.456467,2
31.545404,137.251419,-3.220506,-2.372412,128.0,5.748581,0
29.172993,134.030914,-3.220506,-2.372412,122.0,2.969086,0
26.800581,130.81041,-3.220506,-2.372412,116.0,0.18959,0
14.938521,114.707886,-3.220506,-2.372412,110.0,10.292114,0
12.566109,111.487381,-3.220506,-2.372412,104.0,7.512619,0
10.193696,108.266876,-3.220506,-2.372412,98.0,4.733124,0
276.99234,3.69423,3.69423,-2.0,44.0,55.305771,2
272.99234,11.082689,3.69423,-2.0,44.0,47.917313,2
264.99234,25.859606,3.69423,-2.0,44.0,33.140396,2
260.99234,33.248066,3.69423,-2.0,44.0,25.751934,2
244.99234,62.801899,3.69423,-2.0,44.0,-3.801899,0
242.99234,66.496132,3.69423,-2.0,38.0,-13.496132,0
240.99234,70.190361,3.69423,-2.0,32.0,-23.190361,0
236.99234,77.578819,3.69423,-2.0,26.0,-36.578819,2
226.99234,96.049965,3.69423,-2.0,26.0,-55.049965,2
212.99234,121.909569,3.69423,-2.0,26.0,-80.909569,1
210.99234,125.603798,3.69423,-2.0,32.0,-78.603798,1
208.99234,129.298035,3.69423,-2.0,38.0,-76.298035,1
206.99234,132.992264,3.69423,-2.0,44.0,-73.992264,1
188.99234,166.240326,3.69423,-2.0,50.0,-101.240326,2
186.99234,169.934555,3.69423,-2.0,50.0,-104.934555,2
184.99234,173.628784,3.69423,-2.0,50.0,-108.628784,1
182.99234,177.323013,3.69423,-2.0,56.0,-106.323013,1
180.99234,181.017242,3.69423,-2.0,62.0,-104.017242,1
178.99234,184.711472,3.69423,-2.0,68.0,-101.711472,1
172.99234,188.305771,-3.69423,-2.0,74.0,-99.305771,2
168.99234,180.917313,-3.69423,-2.0,74.0,-91.917313,2
158.99234,162.446167,-3.69423,-2.0,74.0,-73.446167,2
126.99234,103.338501,-3.69423,-2.0,26.0,-62.338501,2
122.99234,95.950043,-3.69423,-2.0,26.0,-54.950043,2
116.99234,84.867355,-3.69423,-2.0,26.0,-43.867355,2
112.99234,77.478897,-3.69423,-2.0,26.0,-36.478897,2
108.99234,70.090439,-3.69423,-2.0,26.0,-29.090439,2
96.99234,47.925064,-3.69423,-2.0,26.0,-6.925064,2
90.99234,36.842377,-3.69423,-2.0,26.0,4.157623,2
68.99234,3.69423,3.69423,-2.0,26.0,37.305771,0
66.99234,7.388459,3.69423,-2.0,20.0,27.611542,0
64.99234,11.082689,3.69423,-2.0,14.0,17.917311,0
62.99234,14.776918,3.69423,-2.0,8.0,8.223082,2
56.99234,25.859606,3.69423,-2.0,8.0,-2.859606,2
44.99234,48.024982,3.69423,-2.0,8.0,-25.024982,1
42.99234,51.719212,3.69423,-2.0,14.0,-22.719212,1
34.99234,66.496132,3.69423,-2.0,20.0,-31.496132,1
32.99234,70.190361,3.69423,-2.0,26.0,-29.190361,1
30.99234,73.88459,3.69423,-2.0,32.0,-26.88459,1
28.99234,77.578819,3.69423,-2.0,38.0,-24.578819,1
26.99234,81.273048,3.69423,-2.0,44.0,-22.273048,1
24.99234,84.967278,3.69423,-2.0,50.0,-19.967278,1
