ballX,ballY,vy,vx,paddleY,deltaY,action
301.889557,166.355347,-3.205583,2.392538,156.0,4.644653,0
160.517487,165.676208,-2.19365,3.344832,155.0,4.323792,0
163.86232,163.482559,-2.19365,3.344832,152.0,3.517441,0
167.207153,161.28891,-2.19365,3.344832,149.0,2.71109,2
170.551987,159.095261,-2.19365,3.344832,149.0,4.904739,0
173.89682,156.901611,-2.19365,3.344832,146.0,4.098389,0
177.241653,154.707962,-2.19365,3.344832,143.0,3.292038,0
180.586487,152.514313,-2.19365,3.344832,140.0,2.485687,2
183.93132,150.320663,-2.19365,3.344832,140.0,4.679337,0
187.276154,148.127014,-2.19365,3.344832,137.0,3.872986,0
190.620987,145.933365,-2.19365,3.344832,134.0,3.066635,0
193.96582,143.739716,-2.19365,3.344832,131.0,2.260284,2
197.310654,141.546066,-2.19365,3.344832,131.0,4.453934,0
200.655487,139.352417,-2.19365,3.344832,128.0,3.647583,0
204.00032,137.158768,-2.19365,3.344832,125.0,2.841232,2
207.345154,134.965118,-2.19365,3.344832,125.0,5.034882,0
210.689987,132.771469,-2.19365,3.344832,122.0,4.228531,0
214.034821,130.57782,-2.19365,3.344832,119.0,3.42218,0
217.379654,128.384171,-2.19365,3.344832,116.0,2.615829,2
220.724487,126.190521,-2.19365,3.344832,116.0,4.809479,0
224.069321,123.996872,-2.19365,3.344832,113.0,4.003128,0
227.414154,121.803223,-2.19365,3.344832,110.0,3.196777,0
230.758987,119.609573,-2.19365,3.344832,107.0,2.390427,2
234.103821,117.415924,-2.19365,3.344832,107.0,4.584076,0
237.448654,115.222275,-2.19365,3.344832,104.0,3.777725,0
240.793488,113.028625,-2.19365,3.344832,101.0,2.971375,2
244.138321,110.834976,-2.19365,3.344832,101.0,5.165024,0
247.483154,108.641327,-2.19365,3.344832,98.0,4.358673,0
250.827988,106.447678,-2.19365,3.344832,95.0,3.552322,0
254.172821,104.254028,-2.19365,3.344832,92.0,2.745972,2
257.517639,102.060379,-2.19365,3.344832,92.0,4.939621,0
260.862457,99.86673,-2.19365,3.344832,89.0,4.13327,0
264.207275,97.67308,-2.19365,3.344832,86.0,3.32692,0
267.552094,95.479431,-2.19365,3.344832,83.0,2.520569,2
270.896912,93.285782,-2.19365,3.344832,83.0,4.714218,0
274.24173,91.092133,-2.19365,3.344832,80.0,3.907867,0
277.586548,88.898483,-2.19365,3.344832,77.0,3.101517,0
280.931366,86.704834,-2.19365,3.344832,74.0,2.295166,2
284.276184,84.511185,-2.19365,3.344832,74.0,4.488815,0
287.621002,82.317535,-2.19365,3.344832,71.0,3.682465,0
290.96582,80.123886,-2.19365,3.344832,68.0,2.876114,2
294.310638,77.930237,-2.19365,3.344832,68.0,5.069763,0
