ballX,ballY,vy,vx,paddleY,distance,deltaY,action
230.391754,38.240768,-2.625421,3.017808,49.0,80.33202290759483,25.759232,0
233.409561,35.615349,-2.625421,3.017808,45.0,77.16324915790238,24.384651,0
236.427368,32.989929,-2.625421,3.017808,41.0,74.00738758281139,23.010071,0
239.445175,30.364508,-2.625421,3.017808,37.0,70.86616318711411,21.635492,0
242.462982,27.739086,-2.625421,3.017808,33.0,67.74161214827795,20.260914,0
245.48078900000002,25.113665,-2.625421,3.017808,29.0,64.63615232820364,18.886335,0
248.49859600000002,22.488243,-2.625421,3.017808,25.0,61.55267351787624,17.511757,2
251.516403,19.862822,-2.625421,3.017808,25.0,58.708787381976244,20.137178,2
263.587631,9.361135,-2.625421,3.017808,25.0,48.976342193761134,30.638865,2
266.605438,6.735714,-2.625421,3.017808,25.0,47.081547917009274,33.264286,0
269.623245,4.110293,-2.625421,3.017808,21.0,43.76693440116493,31.889706,0
272.641052,1.484872,-2.625421,3.017808,17.0,40.452567193233705,30.515127,0
284.71228,7.876263,2.625421,3.017808,13.0,25.801578704481784,20.123737,2
287.730087,10.501684,2.625421,3.017808,13.0,22.40960972135445,17.498316,2
305.83693,26.254213,2.625421,3.017808,13.0,13.892635245851272,1.745787,2
212.20912199999998,48.043015,-2.821,2.835834,13.0,103.88006892710995,-20.043015,2
251.910751,8.549012,-2.821,2.835834,13.0,58.2595240588193,19.450989,2
257.582417,2.907012,-2.821,2.835834,13.0,53.38044037220029,25.092989,2
297.2841,33.852009,2.821,2.835834,13.0,24.42335751173619,-5.852009,2
302.955769,39.494007,2.821,2.835834,13.0,27.414477877526878,-11.494007,1
305.791603,42.315006,2.821,2.835834,17.0,25.662426504320372,-10.315006,1
308.627438,45.136005,2.821,2.835834,21.0,24.175000802561907,-9.136005,1
39.35217299999999,180.919006,-3.693661,2.0,45.0,302.860070745303,-120.919006,2
41.35217299999999,177.225342,-3.693661,2.0,45.0,299.42477522549615,-117.225342,2
45.35217299999999,169.838013,-3.693661,2.0,45.0,292.6140834368881,-109.838013,2
57.35217299999999,147.676025,-3.693661,2.0,45.0,272.7146688347045,-87.676025,2
59.35217299999999,143.982361,-3.693661,2.0,45.0,269.48439837763567,-83.982361,2
69.352173,125.514038,-3.693661,2.0,45.0,253.7595061369867,-65.514038,2
75.352173,114.433044,-3.693661,2.0,45.0,244.70502715499708,-54.433044,2
77.352173,110.73938,-3.693661,2.0,45.0,241.75747659711857,-50.73938,2
79.352173,107.045715,-3.693661,2.0,45.0,238.8474216936058,-47.045715,2
83.352173,99.658386,-3.693661,2.0,45.0,233.14539807585078,-39.658386,2
85.352173,95.964722,-3.693661,2.0,45.0,230.35635234210324,-35.964722,2
89.352173,88.577393,-3.693661,2.0,45.0,224.9098769296235,-28.577393,2
91.352173,84.883728,-3.693661,2.0,45.0,222.25567261827067,-24.883728,2
109.352173,51.640762,-3.693661,2.0,45.0,200.75769026306955,8.359238,2
123.352173,25.785137,-3.693661,2.0,45.0,187.63427800892538,34.214863,2
131.352173,11.010494,-3.693661,2.0,45.0,181.85250234722085,48.989506,2
135.352173,3.623173,-3.693661,2.0,45.0,179.48232583853448,56.376827,2
141.352173,7.387321,3.693661,2.0,45.0,172.79121266250485,52.612679,2
171.352173,62.792233,3.693661,2.0,69.0,138.78672956355814,21.207767,1
173.352173,66.485893,3.693661,2.0,73.0,136.8030051344976,21.514107,1
175.352173,70.17955,3.693661,2.0,77.0,134.82045784681355,21.82045,1
177.352173,73.873215,3.693661,2.0,81.0,132.83913983558517,22.126785,1
179.352173,77.566879,3.693661,2.0,85.0,130.85910739273203,22.433121,1
181.352173,81.260544,3.693661,2.0,89.0,128.8804196571297,22.739456,1
183.352173,84.954208,3.693661,2.0,93.0,126.90313964882506,23.045792,1
185.352173,88.647873,3.693661,2.0,97.0,124.92733408364263,23.352127,1
187.352173,92.341537,3.693661,2.0,101.0,122.95307417606239,23.658463,1
189.352173,96.035202,3.693661,2.0,105.0,120.98043545550138,23.964798,1
191.352173,99.728867,3.693661,2.0,109.0,119.00949860799187,24.271133,1
193.352173,103.422531,3.693661,2.0,113.0,117.04034969303488,24.577469,1
195.352173,107.116196,3.693661,2.0,117.0,115.07308033303161,24.883804,1
197.352173,110.80986,3.693661,2.0,121.0,113.1077887726638,25.19014,1
199.352173,114.503525,3.693661,2.0,125.0,111.14457974749625,25.496475,1
201.352173,118.197189,3.693661,2.0,129.0,109.18356578406684,25.802811,1
203.352173,121.890854,3.693661,2.0,133.0,107.22486711892557,26.109146,1
217.352173,147.746506,3.693661,2.0,137.0,93.2690047069763,4.253494,2
