ballX,ballY,vy,vx,paddleY,distance,deltaY,action
0.8482822138851455,0.53125,0.0,1.0,0.4556213017751479,0.1396137459837128,0.4729729729729729,0
0.8039461610942933,0.0,1.0,1.0,0.2189349112426035,0.2002019844010962,0.6824324324324325,0
0.8172345273933724,0.03125,1.0,1.0,0.1242603550295858,0.1552188209745053,0.6081081081081081,2
0.9330937899338247,0.4375,0.0,1.0,0.4556213017751479,0.0401494258357224,0.5337837837837838,0
0.9368298240850856,0.53125,1.0,1.0,0.6449704142011834,0.0406814959816936,0.5810810810810811,1
0.9443966849486016,0.2341253385416666,0.0,1.0,0.3372781065088757,0.0481976001795515,0.5981349155405405,0
0.3379933142375523,0.8036075416666667,0.1810738333333333,1.0,0.4556213017751479,0.6538727126706777,0.2963086216216216,2
0.963406556683244,0.75,0.0,1.0,0.8816568047337278,0.0200001811994129,0.5743243243243243,0
0.4584486373182334,0.53125,0.0,1.0,0.2662721893491124,0.522671314942571,0.3648648648648649,2
0.963406556683244,0.25,1.0,1.0,0.1420118343195266,0.0734839084764792,0.4763513513513513,2
0.9678775105768586,0.65625,1.0,1.0,0.6686390532544378,0.0381658288000875,0.5135135135135135,2
0.89738911242025,0.7500510989583333,0.9802524166666666,1.0,0.7337278106508875,0.0922835596108093,0.4898317195945946,1
0.0149370439395313,0.1031430781249999,0.1502891666666667,0.62407075,0.5976331360946745,0.9539205722964842,0.8317450439189189,2
0.7538764373685312,0.6875,0.0,1.0,0.4556213017751479,0.2696269868097993,0.3716216216216216,2
0.9698635898039192,0.25,1.0,1.0,0.1715976331360946,0.0572536216313075,0.4932432432432432,1
0.6928744710291722,0.375,1.0,1.0,0.3609467455621302,0.2679415331350998,0.5202702702702703,1
0.713010089969482,0.1875,0.0,1.0,0.1242603550295858,0.2507056218513536,0.5067567567567568,0
0.4740850147551694,0.899514515625,1.0,1.0,0.1952662721893491,0.6500403265355997,0.0854500439189189,1
0.8722674160667419,0.5,1.0,1.0,0.5029585798816567,0.0990090730361234,0.5202702702702703,1
0.0101069918792334,0.483539265625,0.736628,0.26059,0.5207100591715976,0.9218866530190052,0.5410826385135136,2
0.6123303774093362,0.8125,1.0,1.0,0.6923076923076923,0.3641619440670575,0.4256756756756756,2
0.4971571666441728,0.5004520416666667,1.0,1.0,0.4792899408284023,0.4562329190947312,0.5064635405405405,2
0.4783811867668521,0.6875,0.0,1.0,0.57396449704142,0.4843487520134857,0.4391891891891892,0
0.9557765328926164,0.625,1.0,1.0,0.621301775147929,0.0465469320821503,0.5067567567567568,1
0.9567623735337044,0.625,0.0,1.0,0.6449704142011834,0.0341854342547107,0.5202702702702703,0
0.4864992656749121,0.0810226614583333,0.0,1.0,0.4792899408284023,0.510350616242957,0.7785258412162162,2
0.2180891062165761,0.503522515625,0.0,1.0,0.3609467455621302,0.7304732049959887,0.4369043141891892,2
0.6688892688475759,0.6875,0.0,1.0,0.621301775147929,0.3007344078675319,0.4662162162162162,0
0.8570996262906102,0.78125,0.0,1.0,0.7159763313609467,0.1403572062975811,0.4594594594594595,0
0.6378415823558029,0.4375,0.0,1.0,0.3846153846153846,0.3240207466364709,0.4932432432432432,0
0.4067690678804367,0.2060226614583333,0.0,1.0,0.4792899408284023,0.5575207980598373,0.6974447601351352,2
0.6245532160567236,0.71875,1.0,1.0,0.6449704142011834,0.3434720891087466,0.4594594594594595,2
0.6173783985420377,0.71875,0.0,1.0,0.57396449704142,0.3617939879507011,0.4189189189189189,0
0.0431514015794725,0.9114021458333332,0.91224475,0.73673425,0.3136094674556213,0.9701654663121124,0.1453067162162162,2
0.2503057304265803,0.548676171875,1.0,1.0,0.57396449704142,0.6915018603399073,0.5292370777027027,1
0.516994518236625,0.9667874947916666,1.0,1.0,0.2662721893491124,0.6225703450915996,0.0823540574324324,2
0.5972852591866945,0.40625,1.0,1.0,0.4319526627218935,0.3580730047326524,0.5405405405405406,1
0.7973019779447537,0.84375,0.0,1.0,0.4792899408284023,0.3042631165062173,0.2837837837837837,1
0.9346776834664772,0.44210275,0.1921949166666666,0.0,0.4733727810650888,0.0359839536830839,0.5409333513513513,0
0.7163200127228134,0.75,0.0,1.0,0.1952662721893491,0.4271087318128653,0.1824324324324324,1
0.8434444578944859,0.78125,0.0,1.0,0.7159763313609467,0.1507117471899791,0.4594594594594595,2
0.8955700114820123,0.71875,1.0,1.0,0.5029585798816567,0.1805024523198543,0.3783783783783784,1
