ballX,ballY,vy,vx,paddleY,distance,deltaY,action
107.790878,48.043015,-2.821,-2.835834,13.0,103.880066,-20.043015,2
68.089249,8.549012,-2.821,-2.835834,13.0,58.259525,19.450989,2
62.417583,2.907012,-2.821,-2.835834,13.0,53.38044,25.092989,2
22.7159,33.852009,2.821,-2.835834,13.0,24.423359,-5.852009,2
17.044231,39.494007,2.821,-2.835834,13.0,27.414478,-11.494007,1
14.208397,42.315006,2.821,-2.835834,17.0,25.662428,-10.315006,1
11.372562,45.136005,2.821,-2.835834,21.0,24.175001,-9.136005,1
280.647827,180.919006,-3.693661,-2.0,45.0,302.860077,-120.919006,2
278.647827,177.225342,-3.693661,-2.0,45.0,299.424774,-117.225342,2
274.647827,169.838013,-3.693661,-2.0,45.0,292.614075,-109.838013,2
262.647827,147.676025,-3.693661,-2.0,45.0,272.714661,-87.676025,2
260.647827,143.982361,-3.693661,-2.0,45.0,269.484406,-83.982361,2
250.647827,125.514038,-3.693661,-2.0,45.0,253.759506,-65.514038,2
244.647827,114.433044,-3.693661,-2.0,45.0,244.705032,-54.433044,2
242.647827,110.73938,-3.693661,-2.0,45.0,241.757477,-50.73938,2
240.647827,107.045715,-3.693661,-2.0,45.0,238.847412,-47.045715,2
236.647827,99.658386,-3.693661,-2.0,45.0,233.145401,-39.658386,2
234.647827,95.964722,-3.693661,-2.0,45.0,230.356354,-35.964722,2
230.647827,88.577393,-3.693661,-2.0,45.0,224.909882,-28.577393,2
228.647827,84.883728,-3.693661,-2.0,45.0,222.255676,-24.883728,2
210.647827,51.640762,-3.693661,-2.0,45.0,200.75769,8.359238,2
196.647827,25.785137,-3.693661,-2.0,45.0,187.634277,34.214863,2
188.647827,11.010494,-3.693661,-2.0,45.0,181.852493,48.989506,2
184.647827,3.623173,-3.693661,-2.0,45.0,179.48233,56.376827,2
178.647827,7.387321,3.693661,-2.0,45.0,172.791214,52.612679,2
148.647827,62.792233,3.693661,-2.0,69.0,138.786728,21.207767,1
146.647827,66.485893,3.693661,-2.0,73.0,136.803009,21.514107,1
144.647827,70.17955,3.693661,-2.0,77.0,134.820465,21.82045,1
142.647827,73.873215,3.693661,-2.0,81.0,132.839142,22.126785,1
140.647827,77.566879,3.693661,-2.0,85.0,130.8591,22.433121,1
138.647827,81.260544,3.693661,-2.0,89.0,128.880417,22.739456,1
136.647827,84.954208,3.693661,-2.0,93.0,126.903145,23.045792,1
134.647827,88.647873,3.693661,-2.0,97.0,124.927338,23.352127,1
132.647827,92.341537,3.693661,-2.0,101.0,122.953072,23.658463,1
130.647827,96.035202,3.693661,-2.0,105.0,120.980438,23.964798,1
128.647827,99.728867,3.693661,-2.0,109.0,119.009499,24.271133,1
126.647827,103.422531,3.693661,-2.0,113.0,117.040352,24.577469,1
124.647827,107.116196,3.693661,-2.0,117.0,115.073082,24.883804,1
122.647827,110.80986,3.693661,-2.0,121.0,113.107788,25.19014,1
120.647827,114.503525,3.693661,-2.0,125.0,111.144577,25.496475,1
118.647827,118.197189,3.693661,-2.0,129.0,109.183563,25.802811,1
116.647827,121.890854,3.693661,-2.0,133.0,107.224869,26.109146,1
102.647827,147.746506,3.693661,-2.0,137.0,93.269005,4.253494,2
88.647827,173.602158,3.693661,-2.0,137.0,86.747902,-21.602158,1
86.647827,177.295822,3.693661,-2.0,141.0,84.807289,-21.295822,1
84.647827,180.989487,3.693661,-2.0,145.0,82.870628,-20.989487,1
